municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
ZAPOPAN,123,10,3,10,0,0,5,2016
ZAPOTLANEJO,6,2,0,0,0,0,0,2016
ACATIC,1,0,0,0,0,0,0,2017
ACATLÁN DE JUÁREZ,1,1,0,0,0,0,0,2017
AHUALULCO DE MERCADO,2,0,0,0,0,0,0,2017
AMACUECA,0,1,0,0,0,0,0,2017
AMATITÁN,0,0,0,0,0,0,0,2017
AMECA,5,1,0,0,0,0,0,2017
ARANDAS,12,0,0,0,0,0,0,2017
ATENGUILLO,1,0,0,0,0,0,0,2017
ATOTONILCO EL ALTO,8,0,0,0,0,0,0,2017
AUTLÁN DE NAVARRO,2,0,0,0,0,0,0,2017
AYOTLÁN,1,1,0,0,0,0,0,2017
AYUTLA,1,0,0,0,0,0,0,2017
BOLAÑOS,0,0,0,0,0,0,0,2017
CABO CORRIENTES,0,0,0,0,0,1,10,2017
CASIMIRO CASTILLO,1,2,0,0,0,0,0,2017
CHAPALA,3,0,1,1,0,0,0,2017
CHIQUILISTLÁN,0,0,0,0,0,0,0,2017
CIHUATLÁN,5,2,0,0,1,0,8,2017
COCULA,1,0,0,0,0,0,0,2017
COLOTLÁN,2,0,0,0,0,0,0,2017
CONCEPCIÓN DE BUENOS AIRES,0,0,0,0,0,0,0,2017
CUAUTITLÁN DE GARCÍA BARRAGÁN,0,0,0,0,0,0,0,2017
CUQUÍO,2,0,0,0,0,0,0,2017
DEGOLLADO,1,0,0,0,0,0,0,2017
EL ARENAL,0,0,0,0,0,0,0,2017
EL GRULLO,3,1,0,0,0,0,0,2017
EL SALTO,3,0,1,3,0,0,0,2017
ENCARNACIÓN DE DÍAZ,7,1,0,0,0,0,0,2017
ETZATLÁN,4,1,0,0,0,0,0,2017
GÓMEZ FARÍAS,0,0,0,0,0,0,0,2017
GUADALAJARA,361,2,1,57,0,0,7,2017
HUEJÚCAR,2,0,0,0,0,0,0,2017
HUEJUQUILLA EL ALTO,0,0,0,0,0,0,0,2017
IXTLAHUACÁN DE LOS MEMBRILLOS,0,0,0,0,0,0,0,2017
IXTLAHUACÁN DEL RÍO,1,0,0,0,0,0,0,2017
JALOSTOTITLÁN,7,0,0,0,0,0,0,2017
JAMAY,2,0,0,0,0,0,0,2017
JESÚS MARÍA,3,0,0,0,0,0,0,2017
JOCOTEPEC,3,1,0,0,0,0,0,2017
JUANACATLÁN,0,0,0,0,0,0,0,2017
LA BARCA,5,0,0,1,0,0,0,2017
LA HUERTA,0,1,0,0,0,0,0,2017
LA MANZANILLA DE LA PAZ,0,0,0,0,0,0,0,2017
LAGOS DE MORENO,12,1,0,0,0,0,0,2017
MAGDALENA,0,0,0,0,0,0,0,2017
MASCOTA,1,1,0,0,0,0,2,2017
MAZAMITLA,4,0,0,0,0,0,2,2017
MEZQUITIC,0,0,0,0,0,0,0,2017
OCOTLÁN,7,2,0,0,0,0,1,2017
OJUELOS DE JALISCO,0,0,0,0,0,0,0,2017
PIHUAMO,0,1,0,0,0,0,1,2017
PONCITLÁN,3,0,0,0,0,0,0,2017
PUERTO VALLARTA,87,2,2,50,1,3,89,2017
QUITUPAN,0,0,0,0,0,0,0,2017
SAN DIEGO DE ALEJANDRÍA,0,0,0,0,0,0,0,2017
SAN GABRIEL,0,0,0,0,0,0,0,2017
SAN IGNACIO CERRO GORDO,3,0,0,0,0,0,0,2017
SAN JUAN DE LOS LAGOS,6,0,0,1,0,0,0,2017
SAN JUANITO DE ESCOBEDO,0,2,0,0,0,0,0,2017
SAN JULIÁN,2,0,0,0,0,0,0,2017
SAN MARCOS,0,0,0,0,0,0,0,2017
SAN MARTÍN HIDALGO,3,0,0,0,0,0,1,2017
SAN MIGUEL EL ALTO,3,0,0,0,0,0,0,2017
SAN PEDRO TLAQUEPAQUE,30,0,0,0,0,0,2,2017
SAN SEBASTIÁN DEL OESTE,0,0,0,0,0,0,0,2017
SAYULA,1,2,0,0,0,0,0,2017
TALA,2,1,0,0,0,0,2,2017
TALPA DE ALLENDE,0,0,0,0,0,0,0,2017
TAMAZULA DE GORDIANO,3,3,0,0,0,0,0,2017
TAPALPA,1,0,0,0,0,0,0,2017
TECALITLÁN,1,0,0,0,0,0,0,2017
TECOLOTLÁN,3,2,0,0,0,0,0,2017
TENAMAXTLÁN,0,0,0,0,0,0,0,2017
TEOCALTICHE,2,0,0,0,0,0,0,2017
TEOCUITATLÁN DE CORONA,0,0,0,0,0,0,0,2017
TEPATITLÁN DE MORELOS,31,0,0,0,0,0,0,2017
TEQUILA,8,1,0,0,0,0,6,2017
TEUCHITLÁN,0,2,0,0,0,0,0,2017
TIZAPÁN EL ALTO,1,0,0,0,0,0,0,2017
TLAJOMULCO DE ZÚÑIGA,14,3,2,20,0,12,0,2017
TOMATLÁN,0,0,0,0,0,0,0,2017
TONALÁ,28,1,0,1,0,0,3,2017
TONAYA,1,0,0,0,0,0,0,2017
TONILA,0,0,0,0,0,0,0,2017
