municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
CHAPALA,52,2,13,9,8,7,13,2015
DEGOLLADO,2,0,0,0,0,2,0,2015
JAMAY,5,0,0,0,1,1,3,2015
JOCOTEPEC,22,4,3,4,1,2,8,2015
LA BARCA,34,0,4,8,2,8,12,2015
OCOTLÁN,20,0,3,5,0,3,9,2015
PONCITLÁN,4,0,0,0,0,3,1,2015
TIZAPÁN EL ALTO,3,0,0,0,0,1,2,2015
TOTOTLÁN,3,0,0,0,0,1,2,2015
TUXCUECA,3,0,0,1,0,2,0,2015
ZAPOTLÁN DEL REY,2,1,0,0,0,0,1,2015
CONCEPCIÓN DE BUENOS AIRES,5,0,0,0,0,0,5,2015
LA MANZANILLA DE LA PAZ,9,0,1,1,2,1,4,2015
MAZAMITLA,45,2,5,8,3,2,25,2015
PIHUAMO,1,0,0,1,0,0,0,2015
QUITUPAN,1,0,0,1,0,0,0,2015
SANTA MARÍA DEL ORO,3,0,0,1,0,1,1,2015
TAMAZULA DE GORDIANO,7,0,0,1,1,3,2,2015
TECALITLÁN,3,0,0,0,0,2,1,2015
VALLE DE JUÁREZ,1,0,0,1,0,0,0,2015
AMACUECA,2,0,0,0,0,0,2,2015
ATEMAJAC DE BRIZUELA,3,0,0,0,0,0,3,2015
ATOYAC,2,1,0,0,0,0,1,2015
GÓMEZ FARÍAS,2,0,0,0,1,0,1,2015
SAN GABRIEL,2,0,0,0,1,0,1,2015
SAYULA,8,2,2,1,1,1,1,2015
TAPALPA,59,5,8,10,1,1,34,2015
TONILA,1,0,0,1,0,0,0,2015
TUXPAN,4,0,0,1,1,1,1,2015
ZACOALCO DE TORRES,5,0,0,0,0,2,3,2015
ZAPOTILTIC,5,0,0,0,1,1,3,2015
ZAPOTITLÁN DE VADILLO,1,0,0,0,0,0,1,2015
ZAPOTLÁN EL GRANDE,15,3,2,5,4,0,1,2015
ATENGO,2,0,0,0,0,0,2,2015
